order_id,date,product,region,salesperson,quantity,unit_price,revenue,cost,profit
ORD-000001,2024-08-21,Headset,Central,Bob Smith,3,557.15,1671.45,1024.49,646.96
ORD-000002,2024-02-06,Keyboard,West,Emma Brown,7,770.97,5396.79,2218.45,3178.34
ORD-000003,2024-07-20,Keyboard,East,David Wilson,21,781.09,16402.89,8339.45,8063.44
ORD-000004,2024-06-29,Laptop,Central,David Wilson,10,325.17,3251.7,2043.31,1208.39
ORD-000005,2024-07-09,Laptop,East,Bob Smith,31,60.57,1877.67,797.7,1079.97
ORD-000006,2024-01-30,Mouse,East,Alice Johnson,21,987.45,20736.45,13986.47,6749.98
ORD-000007,2024-01-30,Laptop,Central,Emma Brown,20,666.74,13334.8,6609.18,6725.62
ORD-000008,2024-07-05,Mouse,North,Emma Brown,31,155.88,4832.28,3268.42,1563.86
ORD-000009,2024-07-21,Webcam,Central,Alice Johnson,25,749.98,18749.5,12503.67,6245.83
ORD-000010,2024-06-24,USB Drive,East,Carol Davis,9,708.73,6378.57,4333.57,2045
ORD-000011,2024-07-25,Headset,West,Carol Davis,1,539.87,539.87,343.69,196.18
ORD-000012,2024-10-10,Keyboard,West,Bob Smith,17,861.94,14652.98,7023.88,7629.1
ORD-000013,2024-09-11,Webcam,West,Alice Johnson,41,836.95,34314.95,15378.43,18936.52
ORD-000014,2024-04-23,Keyboard,West,Frank Miller,36,989.51,35622.36,16336.67,19285.69
ORD-000015,2024-09-05,Headset,West,David Wilson,37,258.5,9564.5,6360.21,3204.29
ORD-000016,2024-03-28,HDMI Cable,Central,Emma Brown,35,348.13,12184.55,6041.57,6142.98
ORD-000017,2024-11-25,Laptop,North,Alice Johnson,14,897.52,12565.28,8594.16,3971.12
ORD-000018,2024-08-19,HDMI Cable,West,David Wilson,15,808.63,12129.45,7675.47,4453.98
ORD-000019,2024-04-26,Mouse,North,Carol Davis,6,602.3,3613.8,2443.53,1170.27
ORD-000020,2024-10-29,USB Drive,East,Bob Smith,16,73.6,1177.6,641.66,535.94
ORD-000021,2024-10-28,Mouse,West,Carol Davis,45,717.33,32279.85,13297.33,18982.52
ORD-000022,2024-08-20,Laptop,Central,Emma Brown,12,409.46,4913.52,2254.14,2659.38
ORD-000023,2024-03-06,Webcam,South,Frank Miller,29,175.1,5077.9,2058.27,3019.63
ORD-000024,2024-04-15,Mouse,North,Bob Smith,36,131.69,4740.84,2206.58,2534.26
ORD-000025,2024-07-03,Webcam,North,Frank Miller,18,932.36,16782.48,8125.08,8657.4
ORD-000026,2024-06-05,USB Drive,North,Frank Miller,28,652.58,18272.24,10008.24,8264
ORD-000027,2024-05-10,USB Drive,North,David Wilson,38,628.92,23898.96,14341.08,9557.88
ORD-000028,2024-12-13,Mouse,Central,Bob Smith,26,490.68,12757.68,7351.69,5405.99
ORD-000029,2024-01-25,Keyboard,Central,Alice Johnson,20,66.15,1323,798.38,524.62
ORD-000030,2024-02-08,Monitor,East,Carol Davis,36,267.63,9634.68,5380.72,4253.96
ORD-000031,2024-01-18,Monitor,West,David Wilson,37,369.66,13677.42,9369.38,4308.04
ORD-000032,2024-11-21,Mouse,West,Carol Davis,33,602.44,19880.52,10545.96,9334.56
ORD-000033,2024-06-05,Mouse,North,Bob Smith,32,266.89,8540.48,4538.17,4002.31
ORD-000034,2024-07-08,Mouse,West,Carol Davis,42,916.28,38483.76,23150.38,15333.38
ORD-000035,2024-05-27,Laptop,South,Emma Brown,11,922.27,10144.97,5735.11,4409.86
ORD-000036,2024-07-25,Keyboard,East,Carol Davis,31,846.27,26234.37,15131.74,11102.63
ORD-000037,2024-05-24,Mouse,East,Carol Davis,25,457.85,11446.25,4588.24,6858.01
ORD-000038,2024-12-06,Headset,East,Alice Johnson,49,854.35,41863.15,27143.4,14719.75
ORD-000039,2024-06-14,Webcam,North,Carol Davis,34,564.4,19189.6,13175.65,6013.95
ORD-000040,2024-05-15,Laptop,South,Alice Johnson,19,96.69,1837.11,1044.66,792.45
ORD-000041,2024-03-07,Laptop,West,Alice Johnson,3,624.18,1872.54,758.82,1113.72
ORD-000042,2024-12-28,Mouse,East,Carol Davis,9,469.39,4224.51,2502.43,1722.08
ORD-000043,2024-09-07,USB Drive,North,Frank Miller,44,952.53,41911.32,24973.6,16937.72
ORD-000044,2024-09-17,Mouse,West,Bob Smith,44,994.05,43738.2,21157.25,22580.95
ORD-000045,2024-04-24,Keyboard,West,Frank Miller,5,949.82,4749.1,2356.57,2392.53
ORD-000046,2024-10-31,Mouse,East,David Wilson,36,667.27,24021.72,12813.92,11207.8
ORD-000047,2024-12-15,Monitor,Central,Bob Smith,4,602.02,2408.08,1123.89,1284.19
ORD-000048,2024-10-05,USB Drive,South,David Wilson,26,502.97,13077.22,7352.95,5724.27
ORD-000049,2024-05-23,Laptop,South,David Wilson,28,227.32,6364.96,3857.69,2507.27
ORD-000050,2024-05-07,Keyboard,South,Carol Davis,36,858.18,30894.48,16991.42,13903.06
ORD-000051,2024-06-15,Monitor,West,David Wilson,34,211.09,7177.06,4347.88,2829.18
ORD-000052,2024-05-11,Monitor,East,Frank Miller,47,57.31,2693.57,1080.38,1613.19
ORD-000053,2024-10-09,Headset,East,David Wilson,49,792.95,38854.55,20137.81,18716.74
ORD-000054,2024-01-26,Mouse,South,Carol Davis,49,560.37,27458.13,12509.21,14948.92
ORD-000055,2024-11-06,Headset,South,Carol Davis,30,99.38,2981.4,1807.46,1173.94
ORD-000056,2024-01-02,Mouse,North,Emma Brown,46,910.69,41891.74,22089.75,19801.99
ORD-000057,2024-10-16,Headset,South,Alice Johnson,33,249.61,8237.13,4516.89,3720.24
ORD-000058,2024-07-26,Headset,South,David Wilson,45,854.64,38458.8,16911.37,21547.43
ORD-000059,2024-09-08,Laptop,West,David Wilson,13,769.02,9997.26,4600.17,5397.09
ORD-000060,2024-05-21,Headset,South,David Wilson,43,389.25,16737.75,11276.21,5461.54
ORD-000061,2024-09-19,Laptop,North,Frank Miller,3,597.66,1792.98,793.09,999.89
ORD-000062,2024-12-08,Monitor,East,Carol Davis,39,936.55,36525.45,19144.3,17381.15
ORD-000063,2024-03-26,Webcam,South,Carol Davis,8,483.84,3870.72,2248.48,1622.24
