transaction_id,customer_id,product_id,quantity,transaction_date,status,amount
1,513,190,3,2024-08-28,completed,
2,836,184,5,2024-12-10,completed,
3,257,101,1,2024-12-29,completed,
4,517,138,9,2024-04-04,completed,496.19
5,4,147,7,2024-01-09,completed,
6,225,29,10,2024-10-10,completed,
7,776,84,4,2024-04-17,completed,
8,779,178,4,2024-12-20,completed,
9,380,39,5,2024-11-12,completed,
10,821,176,8,2024-02-16,completed,
11,329,114,4,2024-09-04,completed,
12,6,11,8,2024-07-07,completed,
13,983,82,9,2024-01-02,completed,515.71
14,587,84,4,2024-12-08,completed,
15,767,184,6,2024-06-16,completed,
16,20,106,10,2024-03-02,completed,911.24
17,101,49,10,2024-01-20,completed,94.16
18,73,144,1,2024-11-23,completed,
19,851,116,2,2024-04-18,completed,
20,263,198,9,2024-05-08,completed,
21,394,22,2,2024-09-08,completed,
22,52,129,4,2024-03-26,completed,
23,748,178,9,2024-02-16,completed,301.71
24,948,142,4,2024-02-18,completed,670.07
25,857,27,6,2024-05-15,completed,404.49
26,646,16,5,2024-12-18,completed,
27,591,11,1,2024-06-10,completed,
28,367,120,3,2024-02-03,completed,398.93
29,265,142,8,2024-07-03,completed,
30,481,149,6,2024-11-25,completed,
31,304,16,5,2024-01-01,completed,
32,934,197,6,2024-11-29,completed,
33,55,55,5,2024-11-07,completed,
34,334,77,2,2024-01-29,completed,
35,991,35,5,2024-10-09,completed,
36,155,106,9,2024-04-25,completed,
37,477,94,5,2024-03-25,completed,201.22
38,658,16,6,2024-11-17,completed,
39,995,161,9,2024-12-11,pending,
40,499,34,5,2024-06-05,completed,
41,734,34,7,2024-01-03,completed,
42,215,49,2,2024-10-03,completed,
43,549,58,4,2024-02-21,completed,
44,247,131,5,2024-07-21,completed,
45,906,121,1,2024-10-14,cancelled,
46,756,66,3,2024-02-28,completed,134.05
47,466,198,2,2024-05-06,completed,
48,651,82,2,2024-03-31,completed,
49,199,188,10,2024-07-06,completed,
50,844,147,1,2024-05-11,completed,
51,632,150,8,2024-10-16,completed,
52,228,198,8,2024-02-11,completed,
53,941,154,8,2024-11-02,completed,
54,196,158,1,2024-06-19,completed,
55,591,131,8,2024-07-20,completed,954.85
56,514,121,9,2024-11-02,completed,960.27
57,674,94,6,2024-06-22,completed,852.05
58,945,79,8,2024-07-01,completed,672.03
59,136,79,2,2024-10-12,completed,
60,637,134,8,2024-01-25,completed,651.53
61,900,9,6,2024-07-13,completed,
62,780,108,8,2024-12-25,completed,411.21
63,131,4,5,2024-01-10,completed,552.07
64,723,175,6,2024-12-23,completed,
65,515,45,3,2024-11-26,completed,
66,485,67,7,2024-04-18,completed,
67,944,11,8,2024-01-17,completed,
68,573,176,4,2024-11-05,pending,
69,775,41,5,2024-08-27,completed,
70,181,45,7,2024-09-07,completed,
71,3,179,10,2024-11-18,completed,
72,,106,10,2024-06-14,completed,
73,445,83,2,2024-02-03,completed,
74,911,115,10,2024-06-12,completed,
75,275,66,1,2024-10-19,completed,
76,,55,-1,2024-11-03,completed,
77,855,157,3,2024-02-22,completed,
78,131,17,7,2024-02-12,completed,
79,280,5,10,2024-08-13,completed,18.34
80,71,192,4,2024-11-18,completed,
81,290,143,3,2024-02-23,completed,
82,179,138,2,2024-07-08,completed,681.62
83,101,52,9,2024-08-05,completed,
84,827,19,6,2024-12-24,completed,
85,675,71,1,2024-03-19,completed,
86,824,189,2,2024-11-14,completed,711.5
87,501,81,8,2024-02-26,completed,
88,520,113,5,2024-09-03,completed,14.3
89,611,24,8,2024-11-02,completed,
90,874,56,4,2024-01-05,completed,838
91,941,200,7,2024-12-11,completed,
92,410,109,5,2024-08-28,completed,
93,969,30,7,2024-01-17,completed,
94,135,169,5,2024-04-07,completed,
95,603,157,6,2024-01-21,completed,
96,958,163,7,2024-04-19,completed,377.36
97,459,199,6,2024-11-10,completed,
98,525,3,4,2024-02-04,completed,
99,927,137,10,2024-05-22,pending,794.06
100,414,3,6,2024-02-02,completed,
101,219,57,6,2024-11-07,completed,
102,562,174,3,2024-11-02,completed,
103,,22,-1,2024-04-10,completed,
104,112,67,3,2024-10-22,completed,
105,948,30,6,2024-09-16,completed,542.01
106,,61,-1,2024-06-18,completed,
107,837,19,3,2024-01-17,completed,
108,3,169,1,2024-04-24,completed,
109,,26,8,2024-11-02,completed,892.81
110,760,84,7,2024-09-24,cancelled,
111,854,92,4,2024-03-13,completed,
112,923,129,6,2024-04-20,completed,
113,394,7,3,2024-02-09,completed,
114,306,26,5,2024-07-07,completed,
115,399,98,3,2024-04-20,completed,
116,617,157,3,2024-09-19,completed,784.49
117,491,135,5,2024-03-25,completed,661.42
118,300,58,-1,2024-09-09,completed,
119,730,159,3,2024-06-07,completed,
120,536,82,2,2024-07-20,completed,844.04
121,755,190,4,2024-01-31,completed,43.45
122,915,136,9,2024-11-28,completed,
123,122,158,1,2024-11-24,completed,
124,75,91,2,2024-08-18,completed,138.84
125,947,104,10,2024-01-27,completed,
126,497,27,4,2024-05-27,completed,
127,332,84,6,2024-06-05,completed,
128,922,14,1,2024-11-13,completed,
129,197,131,4,2024-05-17,cancelled,
130,754,139,8,2024-04-26,completed,887.32
131,503,27,9,2024-07-08,completed,
132,950,146,6,2024-09-30,completed,
133,655,178,8,2024-10-02,completed,
134,655,70,3,2024-11-15,completed,
135,12,182,3,2024-01-27,completed,
136,901,165,7,2024-07-02,completed,
137,99,198,4,2024-01-10,completed,
138,688,110,2,2024-02-14,completed,
139,102,127,6,2024-11-22,completed,
140,954,113,5,2024-04-11,completed,
141,725,144,9,2024-10-22,completed,
142,572,120,2,2024-03-24,completed,
143,309,128,-1,2024-10-10,completed,
144,241,23,7,2024-01-11,completed,
145,267,110,8,2024-01-08,completed,
146,47,90,5,2024-11-27,completed,77.93
147,750,92,1,2024-12-18,completed,
148,424,166,8,2024-12-29,cancelled,
149,501,57,3,2024-04-16,completed,
150,596,154,7,2024-02-19,completed,
151,262,163,5,2024-12-01,completed,674.31
152,594,185,5,2024-06-27,completed,
153,838,34,4,2024-04-30,completed,
154,367,149,7,2024-03-02,completed,
155,615,66,4,2024-06-22,completed,
156,448,83,6,2024-02-04,completed,
157,521,150,7,2024-12-13,completed,
158,131,49,2,2024-09-02,completed,682.19
159,148,49,4,2024-09-15,completed,
160,701,117,-1,2024-04-16,completed,
161,692,113,5,2024-07-17,completed,
162,348,68,10,2024-09-10,completed,
163,327,29,1,2024-02-13,completed,
164,685,58,9,2024-06-11,completed,
165,,167,5,2024-12-19,completed,
166,394,102,-1,2024-09-15,completed,47.61
167,833,80,4,2024-03-18,completed,
168,171,78,5,2024-10-30,completed,
169,302,119,5,2024-10-14,completed,
170,761,65,2,2024-03-27,completed,
